gapminder.country	gapminder.lifeExp
Afghanistan	28.801
Afghanistan	30.332
Afghanistan	31.997
Afghanistan	34.02
Afghanistan	36.088
Afghanistan	38.438
Afghanistan	39.854
Afghanistan	40.822
Afghanistan	41.674
Afghanistan	41.763
Afghanistan	42.129
Afghanistan	43.828
Albania	55.23
Albania	59.28
Albania	64.82
Albania	66.22
Albania	67.69
Albania	68.93
Albania	70.42
Albania	72
Albania	71.581
Albania	72.95
Albania	75.651
Albania	76.423
Algeria	43.077
Algeria	45.685
Algeria	48.303
Algeria	51.407
Algeria	54.518
Algeria	58.014
Algeria	61.368
Algeria	65.799
Algeria	67.744
Algeria	69.152
Algeria	70.994
Algeria	72.301
Angola	30.015
Angola	31.999
Angola	34
Angola	35.985
Angola	37.928
Angola	39.483
Angola	39.942
Angola	39.906
Angola	40.647
Angola	40.963
Angola	41.003
Angola	42.731
Argentina	62.485
Argentina	64.399
Argentina	65.142
Argentina	65.634
Argentina	67.065
Argentina	68.481
Argentina	69.942
Argentina	70.774
Argentina	71.868
Argentina	73.275
Argentina	74.34
Argentina	75.32
Australia	69.12
Australia	70.33
Australia	70.93
Australia	71.1
Australia	71.93
Australia	73.49
Australia	74.74
Australia	76.32
Australia	77.56
Australia	78.83
Australia	80.37
Australia	81.235
Austria	66.8
Austria	67.48
Austria	69.54
Austria	70.14
Austria	70.63
Austria	72.17
Austria	73.18
Austria	74.94
Austria	76.04
Austria	77.51
Austria	78.98
Austria	79.829
Bahrain	50.939
Bahrain	53.832
Bahrain	56.923
Bahrain	59.923
Bahrain	63.3
Bahrain	65.593
Bahrain	69.052
Bahrain	70.75
Bahrain	72.601
Bahrain	73.925
Bahrain	74.795
Bahrain	75.635
Bangladesh	37.484
Bangladesh	39.348
Bangladesh	41.216
Bangladesh	43.453
Bangladesh	45.252
Bangladesh	46.923
Bangladesh	50.009
Bangladesh	52.819
Bangladesh	56.018
Bangladesh	59.412
Bangladesh	62.013
Bangladesh	64.062
Belgium	68
Belgium	69.24
Belgium	70.25
Belgium	70.94
Belgium	71.44
Belgium	72.8
Belgium	73.93
Belgium	75.35
Belgium	76.46
Belgium	77.53
Belgium	78.32
Belgium	79.441
Benin	38.223
Benin	40.358
Benin	42.618
Benin	44.885
Benin	47.014
Benin	49.19
Benin	50.904
Benin	52.337
Benin	53.919
Benin	54.777
Benin	54.406
Benin	56.728
Bolivia	40.414
Bolivia	41.89
Bolivia	43.428
Bolivia	45.032
Bolivia	46.714
Bolivia	50.023
Bolivia	53.859
Bolivia	57.251
Bolivia	59.957
Bolivia	62.05
Bolivia	63.883
Bolivia	65.554
Bosnia and Herzegovina	53.82
Bosnia and Herzegovina	58.45
Bosnia and Herzegovina	61.93
Bosnia and Herzegovina	64.79
Bosnia and Herzegovina	67.45
Bosnia and Herzegovina	69.86
Bosnia and Herzegovina	70.69
Bosnia and Herzegovina	71.14
Bosnia and Herzegovina	72.178
Bosnia and Herzegovina	73.244
Bosnia and Herzegovina	74.09
Bosnia and Herzegovina	74.852
Botswana	47.622
Botswana	49.618
Botswana	51.52
Botswana	53.298
Botswana	56.024
Botswana	59.319
Botswana	61.484
Botswana	63.622
Botswana	62.745
Botswana	52.556
Botswana	46.634
Botswana	50.728
Brazil	50.917
Brazil	53.285
Brazil	55.665
Brazil	57.632
Brazil	59.504
Brazil	61.489
Brazil	63.336
Brazil	65.205
Brazil	67.057
Brazil	69.388
Brazil	71.006
Brazil	72.39
Bulgaria	59.6
Bulgaria	66.61
Bulgaria	69.51
Bulgaria	70.42
Bulgaria	70.9
Bulgaria	70.81
Bulgaria	71.08
Bulgaria	71.34
Bulgaria	71.19
Bulgaria	70.32
Bulgaria	72.14
Bulgaria	73.005
Burkina Faso	31.975
Burkina Faso	34.906
Burkina Faso	37.814
Burkina Faso	40.697
Burkina Faso	43.591
Burkina Faso	46.137
Burkina Faso	48.122
Burkina Faso	49.557
Burkina Faso	50.26
Burkina Faso	50.324
Burkina Faso	50.65
Burkina Faso	52.295
Burundi	39.031
Burundi	40.533
Burundi	42.045
Burundi	43.548
Burundi	44.057
Burundi	45.91
Burundi	47.471
Burundi	48.211
Burundi	44.736
Burundi	45.326
Burundi	47.36
Burundi	49.58
Cambodia	39.417
Cambodia	41.366
Cambodia	43.415
Cambodia	45.415
Cambodia	40.317
Cambodia	31.22
Cambodia	50.957
Cambodia	53.914
Cambodia	55.803
Cambodia	56.534
Cambodia	56.752
Cambodia	59.723
Cameroon	38.523
Cameroon	40.428
Cameroon	42.643
Cameroon	44.799
Cameroon	47.049
Cameroon	49.355
Cameroon	52.961
Cameroon	54.985
Cameroon	54.314
Cameroon	52.199
Cameroon	49.856
Cameroon	50.43
Canada	68.75
Canada	69.96
Canada	71.3
Canada	72.13
Canada	72.88
Canada	74.21
Canada	75.76
Canada	76.86
Canada	77.95
Canada	78.61
Canada	79.77
Canada	80.653
Central African Republic	35.463
Central African Republic	37.464
Central African Republic	39.475
Central African Republic	41.478
Central African Republic	43.457
Central African Republic	46.775
Central African Republic	48.295
Central African Republic	50.485
Central African Republic	49.396
Central African Republic	46.066
Central African Republic	43.308
Central African Republic	44.741
Chad	38.092
Chad	39.881
Chad	41.716
Chad	43.601
Chad	45.569
Chad	47.383
Chad	49.517
Chad	51.051
Chad	51.724
Chad	51.573
Chad	50.525
Chad	50.651
Chile	54.745
Chile	56.074
Chile	57.924
Chile	60.523
Chile	63.441
Chile	67.052
Chile	70.565
Chile	72.492
Chile	74.126
Chile	75.816
Chile	77.86
Chile	78.553
China	44
China	50.54896
China	44.50136
China	58.38112
China	63.11888
China	63.96736
China	65.525
China	67.274
China	68.69
China	70.426
China	72.028
China	72.961
Colombia	50.643
Colombia	55.118
Colombia	57.863
Colombia	59.963
Colombia	61.623
Colombia	63.837
Colombia	66.653
Colombia	67.768
Colombia	68.421
Colombia	70.313
Colombia	71.682
Colombia	72.889
Comoros	40.715
Comoros	42.46
Comoros	44.467
Comoros	46.472
Comoros	48.944
Comoros	50.939
Comoros	52.933
Comoros	54.926
Comoros	57.939
Comoros	60.66
Comoros	62.974
Comoros	65.152
Congo, Dem. Rep.	39.143
Congo, Dem. Rep.	40.652
Congo, Dem. Rep.	42.122
Congo, Dem. Rep.	44.056
Congo, Dem. Rep.	45.989
Congo, Dem. Rep.	47.804
Congo, Dem. Rep.	47.784
Congo, Dem. Rep.	47.412
Congo, Dem. Rep.	45.548
Congo, Dem. Rep.	42.587
Congo, Dem. Rep.	44.966
Congo, Dem. Rep.	46.462
Congo, Rep.	42.111
Congo, Rep.	45.053
Congo, Rep.	48.435
Congo, Rep.	52.04
Congo, Rep.	54.907
Congo, Rep.	55.625
Congo, Rep.	56.695
Congo, Rep.	57.47
Congo, Rep.	56.433
Congo, Rep.	52.962
Congo, Rep.	52.97
Congo, Rep.	55.322
Costa Rica	57.206
Costa Rica	60.026
Costa Rica	62.842
Costa Rica	65.424
Costa Rica	67.849
Costa Rica	70.75
Costa Rica	73.45
Costa Rica	74.752
Costa Rica	75.713
Costa Rica	77.26
Costa Rica	78.123
Costa Rica	78.782
Cote d'Ivoire	40.477
Cote d'Ivoire	42.469
Cote d'Ivoire	44.93
Cote d'Ivoire	47.35
Cote d'Ivoire	49.801
Cote d'Ivoire	52.374
Cote d'Ivoire	53.983
Cote d'Ivoire	54.655
Cote d'Ivoire	52.044
Cote d'Ivoire	47.991
Cote d'Ivoire	46.832
Cote d'Ivoire	48.328
Croatia	61.21
Croatia	64.77
Croatia	67.13
Croatia	68.5
Croatia	69.61
Croatia	70.64
Croatia	70.46
Croatia	71.52
Croatia	72.527
Croatia	73.68
Croatia	74.876
Croatia	75.748
Cuba	59.421
Cuba	62.325
Cuba	65.246
Cuba	68.29
Cuba	70.723
Cuba	72.649
Cuba	73.717
Cuba	74.174
Cuba	74.414
Cuba	76.151
Cuba	77.158
Cuba	78.273
Czech Republic	66.87
Czech Republic	69.03
Czech Republic	69.9
Czech Republic	70.38
Czech Republic	70.29
Czech Republic	70.71
Czech Republic	70.96
Czech Republic	71.58
Czech Republic	72.4
Czech Republic	74.01
Czech Republic	75.51
Czech Republic	76.486
Denmark	70.78
Denmark	71.81
Denmark	72.35
Denmark	72.96
Denmark	73.47
Denmark	74.69
Denmark	74.63
Denmark	74.8
Denmark	75.33
Denmark	76.11
Denmark	77.18
Denmark	78.332
Djibouti	34.812
Djibouti	37.328
Djibouti	39.693
Djibouti	42.074
Djibouti	44.366
Djibouti	46.519
Djibouti	48.812
Djibouti	50.04
Djibouti	51.604
Djibouti	53.157
Djibouti	53.373
Djibouti	54.791
Dominican Republic	45.928
Dominican Republic	49.828
Dominican Republic	53.459
Dominican Republic	56.751
Dominican Republic	59.631
Dominican Republic	61.788
Dominican Republic	63.727
Dominican Republic	66.046
Dominican Republic	68.457
Dominican Republic	69.957
Dominican Republic	70.847
Dominican Republic	72.235
Ecuador	48.357
Ecuador	51.356
Ecuador	54.64
Ecuador	56.678
Ecuador	58.796
Ecuador	61.31
Ecuador	64.342
Ecuador	67.231
Ecuador	69.613
Ecuador	72.312
Ecuador	74.173
Ecuador	74.994
Egypt	41.893
Egypt	44.444
Egypt	46.992
Egypt	49.293
Egypt	51.137
Egypt	53.319
Egypt	56.006
Egypt	59.797
Egypt	63.674
Egypt	67.217
Egypt	69.806
Egypt	71.338
El Salvador	45.262
El Salvador	48.57
El Salvador	52.307
El Salvador	55.855
El Salvador	58.207
El Salvador	56.696
El Salvador	56.604
El Salvador	63.154
El Salvador	66.798
El Salvador	69.535
El Salvador	70.734
El Salvador	71.878
Equatorial Guinea	34.482
Equatorial Guinea	35.983
Equatorial Guinea	37.485
Equatorial Guinea	38.987
Equatorial Guinea	40.516
Equatorial Guinea	42.024
Equatorial Guinea	43.662
Equatorial Guinea	45.664
Equatorial Guinea	47.545
Equatorial Guinea	48.245
Equatorial Guinea	49.348
Equatorial Guinea	51.579
Eritrea	35.928
Eritrea	38.047
Eritrea	40.158
Eritrea	42.189
Eritrea	44.142
Eritrea	44.535
Eritrea	43.89
Eritrea	46.453
Eritrea	49.991
Eritrea	53.378
Eritrea	55.24
Eritrea	58.04
Ethiopia	34.078
Ethiopia	36.667
Ethiopia	40.059
Ethiopia	42.115
Ethiopia	43.515
Ethiopia	44.51
Ethiopia	44.916
Ethiopia	46.684
Ethiopia	48.091
Ethiopia	49.402
Ethiopia	50.725
Ethiopia	52.947
Finland	66.55
Finland	67.49
Finland	68.75
Finland	69.83
Finland	70.87
